      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  1996,    12,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    12,    0.154,    0.196,    0.259,    0.306,    0.320,    0.259,    0.285,    0.199,    0.306,    0.279,    0.300,    0.236,    0.264,    0.232,    0.217,    0.277,    0.196,    0.320,    0.249,    0.154
  2016,    12,    0.366,    0.495,    0.658,    0.754,    0.773,    0.667,    0.677,    0.520,    0.742,    0.716,    0.754,    0.567,    0.645,    0.573,    0.554,    0.704,    0.495,    0.773,    0.658,    0.366
  2026,    12,    0.653,    0.929,    1.188,    1.333,    1.343,    1.236,    1.188,    0.965,    1.343,    1.297,    1.333,    0.983,    1.167,    1.096,    1.052,    1.263,    0.929,    1.328,    1.225,    0.653
  2036,    12,    0.894,    1.294,    1.605,    1.758,    1.871,    1.706,    1.557,    1.346,    1.871,    1.758,    1.703,    1.294,    1.565,    1.605,    1.489,    1.692,    1.329,    1.697,    1.757,    0.894
  2046,    12,    1.225,    1.695,    2.065,    2.338,    2.496,    2.203,    2.028,    1.774,    2.496,    2.277,    2.065,    1.695,    2.018,    2.233,    1.957,    2.193,    1.781,    2.088,    2.338,    1.225
  2056,    12,    1.689,    2.172,    2.554,    3.038,    3.185,    2.715,    2.603,    2.317,    3.185,    2.869,    2.528,    2.172,    2.511,    2.897,    2.435,    2.821,    2.297,    2.554,    3.038,    1.689
  2066,    12,    2.301,    2.654,    3.116,    3.765,    3.856,    3.261,    3.236,    2.965,    3.856,    3.538,    3.116,    2.654,    3.007,    3.541,    2.932,    3.569,    2.884,    3.109,    3.765,    2.301
  2076,    12,    3.013,    3.092,    3.786,    4.500,    4.515,    3.858,    3.868,    3.693,    4.515,    4.247,    3.778,    3.092,    3.445,    4.172,    3.469,    4.307,    3.604,    3.786,    4.500,    3.013
  2086,    12,    3.512,    3.771,    4.485,    5.146,    5.156,    4.520,    4.485,    4.421,    5.156,    4.998,    4.407,    3.512,    3.797,    4.775,    4.007,    5.004,    4.419,    4.572,    5.146,    3.771
  1996,    13,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    13,    0.206,    0.246,    0.308,    0.350,    0.373,    0.292,    0.340,    0.247,    0.350,    0.328,    0.329,    0.256,    0.336,    0.278,    0.277,    0.339,    0.246,    0.373,    0.308,    0.206
  2016,    13,    0.489,    0.623,    0.792,    0.865,    0.898,    0.771,    0.807,    0.631,    0.844,    0.842,    0.833,    0.623,    0.805,    0.677,    0.714,    0.865,    0.627,    0.898,    0.792,    0.489
  2026,    13,    0.864,    1.083,    1.430,    1.537,    1.538,    1.430,    1.431,    1.174,    1.525,    1.519,    1.502,    1.083,    1.430,    1.275,    1.321,    1.538,    1.164,    1.537,    1.441,    0.864
  2036,    13,    1.162,    1.445,    1.887,    2.060,    2.111,    1.989,    1.887,    1.623,    2.111,    2.060,    1.958,    1.445,    1.882,    1.837,    1.816,    2.025,    1.619,    1.950,    2.006,    1.162
